Date,BTC,ETH,BNB,XRP,ADA,CRIX
2020-09-11,10400.915039,374.695587,25.451414,0.243292,0.096989,810.82
2020-09-12,10442.170898,387.183105,28.529848,0.247814,0.097598,821.7650000000001
2020-09-13,10323.755859,365.570007,31.05863,0.241801,0.094856,827.2375000000001
2020-09-14,10680.837891,377.26886,31.178642,0.246327,0.096769,832.71
2020-09-15,10796.951172,364.839203,27.202391,0.24385,0.093496,836.21
2020-09-16,10974.905273,365.812286,27.964594,0.247847,0.09165,849.59
2020-09-17,10948.990234,389.019226,26.99313,0.252194,0.094217,855.78
2020-09-18,10944.585938,384.364532,27.399481,0.250707,0.091081,847.53
2020-09-19,11094.34668,385.544373,27.251112,0.251716,0.091657,825.21
2020-09-20,10938.271484,371.052826,26.392134,0.246743,0.089433,814.05
2020-09-21,10462.259766,341.786072,23.267879,0.232138,0.080428,802.89
2020-09-22,10538.459961,344.503174,24.10074,0.233417,0.081754,803.49
2020-09-23,10246.186523,321.116302,22.856977,0.221221,0.076763,783.84
2020-09-24,10760.066406,349.355591,24.613825,0.232905,0.082817,816.13
2020-09-25,10692.716797,352.183258,24.663387,0.241922,0.096845,827.65
2020-09-26,10750.723633,355.488098,26.221182,0.24216,0.095564,834.61
2020-09-27,10775.269531,357.438507,26.199217,0.242755,0.101287,838.09
2020-09-28,10709.652344,355.159424,26.979607,0.241862,0.100667,841.57
2020-09-29,10844.640625,359.757385,28.842979,0.243177,0.101181,830.56
2020-09-30,10784.491211,359.937866,29.290876,0.241784,0.101062,827.03
2020-10-01,10619.452148,353.205902,27.431973,0.238249,0.097865,819.04
2020-10-02,10575.974609,346.238922,27.285681,0.234117,0.092921,807.16
2020-10-03,10549.329102,346.522095,28.202311,0.232938,0.093413,816.95
2020-10-04,10669.583008,352.57901,28.943853,0.247685,0.096348,821.845
2020-10-05,10793.339844,353.956787,28.659103,0.250816,0.097544,826.74
2020-10-06,10604.40625,340.815857,27.714527,0.245341,0.092808,810.49
2020-10-07,10668.96875,341.808655,27.704836,0.248539,0.0938,816.28
2020-10-08,10915.685547,350.766144,27.705311,0.251454,0.096152,836.33
2020-10-09,11064.458008,365.590485,28.44503,0.253491,0.101925,851.88
2020-10-10,11296.361328,370.96759,28.312487,0.25429,0.105025,872.585
2020-10-11,11384.181641,375.142059,28.55558,0.255719,0.106538,882.9375
2020-10-12,11555.363281,387.731262,30.714682,0.256446,0.110034,893.29
2020-10-13,11425.899414,381.190765,30.706745,0.256323,0.108852,879.56
2020-10-14,11429.506836,379.484039,30.912119,0.249448,0.107297,873.67
2020-10-15,11495.349609,377.441833,31.295864,0.24594,0.106635,886.64
2020-10-16,11322.123047,366.229004,29.9949,0.240443,0.104064,865.44
2020-10-17,11358.101563,368.855927,30.248236,0.240931,0.106104,878.725
2020-10-18,11483.359375,378.213684,30.659523,0.242225,0.107388,885.3675000000001
2020-10-19,11742.037109,379.935608,29.925068,0.245964,0.108677,892.01
2020-10-20,11916.334961,369.136902,28.803444,0.243573,0.102494,895.65
2020-10-21,12823.689453,392.189972,29.772354,0.251615,0.106187,953.89
2020-10-22,12965.891602,413.77298,30.658192,0.256807,0.110572,988.72
2020-10-23,12931.539063,409.766693,30.633961,0.254879,0.108083,974.05
2020-10-24,13108.0625,412.457611,30.588821,0.256431,0.108075,973.795
2020-10-25,13031.173828,406.217773,30.10754,0.253213,0.106351,973.6675
